mean,std,ptp,slope,zcr,spike_count,hjorth_mobility,hjorth_complexity,rms_first_diff,cluster
1.6676245,0.0024045857,0.015871525,2.2529215e-05,0.2,0.03,0.8503374,1.4916382,0.0020447029,0
1.6695468,0.0023026424,0.010731816,5.6373952e-05,0.19,0.01,0.7192317,1.785729,0.0016582983,0
1.6716416,0.002370192,0.014329314,4.2273667e-05,0.34,0.03,0.8689888,1.4941107,0.0020596725,0
1.6731465,0.0029602016,0.018453598,3.925066e-05,0.19,0.05,0.9360071,1.3557163,0.002770946,0
1.6744287,0.0029047432,0.018453598,2.8269566e-05,0.32,0.04,0.98111653,1.2713686,0.002849919,0
1.6748264,0.0024758566,0.016649127,-8.077701e-06,0.28,0.02,1.0208281,1.2204258,0.002527426,0
1.6749449,0.002600295,0.015881658,4.2883175e-06,0.34,0.03,0.97777426,1.29122,0.0025425013,0
1.6749787,0.0029775552,0.017689705,-1.1011125e-05,0.34,0.04,1.0033177,1.2859659,0.002987577,0
1.6747575,0.0040751817,0.02442944,-1.18965845e-05,0.26,0.04,0.9410239,1.3198215,0.0038348984,0
1.6737787,0.0035755702,0.023908377,-4.9996175e-05,0.28,0.03,0.85034627,1.4017936,0.0030404925,0
1.6730905,0.00246438,0.016982079,9.745467e-06,0.34,0.02,0.9881697,1.2772143,0.0024352253,0
1.6740986,0.0035787192,0.016982079,1.9894904e-05,0.22,0.05,0.93016857,1.3178152,0.0033288843,0
1.6746571,0.003085262,0.016003132,-5.3230665e-06,0.22,0.05,0.9138908,1.3266336,0.0028195907,0
1.6739283,0.00226147,0.013953686,-1.8209985e-05,0.29,0.05,0.9535143,1.2906617,0.0021577512,0
1.6755114,0.008416666,0.062776804,9.375803e-05,0.15,0.01,0.6147961,1.8259742,0.0051748627,0
1.6732489,0.013184542,0.08298159,-0.0001675024,0.13,0.01,0.81346095,1.5013442,0.010733818,0
1.6566623,0.03669483,0.17525685,-0.00013836268,0.08,0.0,0.43629527,2.703864,0.01600978,1
1.6614156,0.03737248,0.17119157,0.00078167976,0.03,0.0,0.3444012,3.2105172,0.012883587,1
1.6782205,0.0022356163,0.015031576,-9.296443e-06,0.33,0.04,0.9832115,1.3275379,0.0021984233,0
1.6778378,0.001944989,0.01030612,-1.4144178e-05,0.44,0.04,1.0962813,1.1858975,0.0021322598,0
1.6770483,0.0019300112,0.012405038,-8.9568475e-06,0.37,0.03,1.0208908,1.2091559,0.0019704187,0
1.6770432,0.0028418605,0.01681161,1.8531155e-05,0.36,0.04,0.99822944,1.2597218,0.0028368316,0
1.6769836,0.0026421319,0.01681161,-1.45142185e-05,0.38,0.03,1.0190973,1.2416935,0.0026925912,0
1.6767397,0.0012165655,0.006848693,1.1137603e-05,0.36,0.01,0.9569628,1.2379007,0.001164291,0
1.6757333,0.008628513,0.07936907,-6.186153e-05,0.18,0.01,1.1414715,1.2067881,0.009849214,0
1.6779033,0.0147801265,0.10728133,9.652637e-05,0.3,0.03,1.073472,1.2105153,0.015866464,0
1.6770495,0.015979055,0.09546101,-9.902343e-05,0.27,0.03,1.0073773,1.221801,0.01609697,0
1.6780672,0.015293912,0.09580231,0.00018058259,0.32,0.03,0.9183206,1.2665446,0.014044733,0
1.6824782,0.012908021,0.07891035,-5.3272895e-05,0.26,0.04,0.94292986,1.2508038,0.012173978,0
1.68219,0.009692786,0.05519104,-3.7311387e-05,0.24,0.04,0.9647738,1.2379471,0.0093515655,0
1.6837887,0.010280888,0.059871793,2.8565823e-05,0.23,0.02,0.9894145,1.2200154,0.010176589,0
1.6810851,0.014701851,0.06840718,-0.00011268149,0.35,0.03,1.0833206,1.2129818,0.015927022,0
1.6812421,0.015962744,0.08674073,6.829465e-05,0.31,0.04,1.0181786,1.2566751,0.016253462,0
1.6782753,0.02304041,0.13833165,-0.00027910364,0.24,0.03,0.877415,1.3538363,0.020216003,0
1.6541853,0.028548716,0.12852633,-0.00065743004,0.11,0.07,0.6452952,1.8710625,0.01843584,0
1.6194185,0.021325523,0.071808934,-0.0006124065,0.03,0.0,0.14003919,6.3101625,0.0030277236,1
1.6018752,0.003921787,0.026320934,1.4809738e-05,0.21,0.01,0.70672435,1.789671,0.0027761743,0
1.6026149,0.008748747,0.040287733,-4.6616995e-05,0.14,0.02,0.44598088,2.7811615,0.0039025624,1
1.5973637,0.010398162,0.040287733,-0.0002713425,0.03,0.01,0.32362634,3.7817826,0.0033674524,1
1.5905818,0.006947148,0.048249006,-1.497343e-05,0.08,0.02,0.57234776,1.8189774,0.0039774943,0
1.6200998,0.039886706,0.14035511,0.0011992023,0.01,0.05,0.23887888,4.6639953,0.009585432,1
1.6594408,0.031060299,0.13237011,0.0004397008,0.18,0.03,0.491442,2.3980083,0.015269943,1
1.6659095,0.017101675,0.09881687,-0.0001648419,0.2,0.04,0.73035413,1.6118865,0.012496259,0
1.6645579,0.006562454,0.04001224,5.7380177e-05,0.11,0.0,0.31010926,3.051585,0.0020663196,1
1.667135,0.0060806065,0.041338205,4.3440286e-05,0.23,0.04,1.028345,1.267183,0.006252969,0
1.6711121,0.006860243,0.041338205,9.722627e-05,0.2,0.03,0.96177495,1.3482207,0.0065980484,0
1.6713295,0.008740539,0.03839159,-5.4892538e-05,0.25,0.06,1.0722556,1.1224152,0.009372771,0
1.6702367,0.012255913,0.04616964,5.822039e-05,0.38,0.06,1.16073,1.0261797,0.01422586,0
1.6715161,0.01264301,0.044740558,2.2466758e-05,0.39,0.02,1.1537055,1.0253754,0.014589665,0
1.67102,0.012443675,0.049244046,-1.43437155e-05,0.4,0.02,1.1423017,1.0346891,0.014215492,0
1.6708249,0.013412365,0.054064274,-5.7274565e-06,0.4,0.03,1.1363795,1.0485998,0.015241538,0
1.6732109,0.0112870075,0.046342015,9.7559845e-05,0.25,0.05,1.0296527,1.1681182,0.011625463,0
1.6762308,0.0052503604,0.037408352,5.6788565e-05,0.25,0.03,0.63958895,2.0411065,0.003368814,0
1.676683,0.0023859967,0.01629293,-1.6971544e-05,0.34,0.03,0.94682795,1.289723,0.0022592158,0
1.6766723,0.0028664987,0.01799786,9.230817e-06,0.4,0.05,0.9924374,1.2829769,0.0028448494,0
1.6773411,0.0031969538,0.017808318,8.290472e-06,0.33,0.06,1.0072834,1.2204791,0.0032205512,0
1.6777606,0.0030100236,0.016656876,1.3885653e-05,0.35,0.04,0.9775083,1.2419249,0.0029427377,0
1.6788961,0.002871991,0.01975274,4.3146778e-05,0.33,0.02,0.8787045,1.4154543,0.0025238427,0
1.6799896,0.0028046218,0.01911652,1.3006288e-05,0.31,0.02,0.99242944,1.2529591,0.0027834345,0
1.6805851,0.0026403049,0.018221855,1.9448245e-05,0.32,0.03,1.0179288,1.2684053,0.0026876463,0
1.6805086,0.0021102123,0.012347817,-1.5450352e-05,0.37,0.02,0.9785628,1.3034751,0.0020661342,0
1.6800426,0.002219517,0.012774348,7.319422e-07,0.35,0.03,0.97753954,1.2976031,0.0021697974,0
